StateCode,Date,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2,DeltaConfirmed,DeltaDeceased,DeltaRecovered,DeltaTested,DeltaVaccinated1,DeltaVaccinated2,Delta7Confirmed,Delta7Deceased,Delta7Recovered,Delta7Tested,Delta7Vaccinated1,Delta7Vaccinated2
AN,2020-03-26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,2020-03-27,6,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
AN,2020-03-28,9,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0
AN,2020-03-29,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
AN,2020-03-30,10,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0
AN,2020-03-31,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
AN,2020-04-01,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
AN,2020-04-02,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
AN,2020-04-03,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AN,2020-04-04,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AN,2020-04-05,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AN,2020-04-06,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,2020-04-07,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,2020-04-08,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,2020-04-09,11,0,10,0,0,0,0,0,10,0,0,0,1,0,10,0,0,0
AN,2020-04-10,11,0,10,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
AN,2020-04-11,11,0,10,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
AN,2020-04-12,11,0,10,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
AN,2020-04-13,11,0,10,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
AN,2020-04-14,11,0,10,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0
AN,2020-04-15,11,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
AN,2020-04-16,11,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AN,2020-04-17,12,0,11,1403,0,0,1,0,0,1403,0,0,1,0,1,1403,0,0
AN,2020-04-18,14,0,11,1403,0,0,2,0,0,0,0,0,3,0,1,1403,0,0
AN,2020-04-19,15,0,11,1403,0,0,1,0,0,0,0,0,4,0,1,1403,0,0
AN,2020-04-20,16,0,11,1403,0,0,1,0,0,0,0,0,5,0,1,1403,0,0
