state_code,district_code,confirmed_total,recovered_total,deceased_total,tested_total,vaccinated1_total,vaccinated2_total,confirmed_delta,recovered_delta,deceased_delta,vaccinated1_delta,vaccinated2_delta,confirmed_delta7,recovered_delta7,deceased_delta7,vaccinated1_delta7,vaccinated2_delta7,population_meta,tested_meta
AN,Nicobars,0,0,0,0,25394,20313,0,0,0,0,0,0,0,0,62,811,36842,0
AN,North and Middle Andaman,0,0,0,0,78945,59522,0,0,0,0,8,0,0,0,90,1839,105597,0
AN,South Andaman,0,0,0,0,189662,120322,0,0,0,3,28,0,0,0,732,8012,238142,0
AP,Anantapur,157843,156699,1093,787085,2690082,1611476,4,5,0,4575,5370,38,58,0,92803,140903,4083315,2020-11-26
AP,Chittoor,246935,244144,1947,780322,2832987,1807873,64,87,1,878,1306,516,629,6,63824,119541,4170468,2020-11-26
AP,East Godavari,293836,291610,1290,944746,3532220,1990578,87,121,0,41,237,604,520,0,36973,223236,5151549,2020-11-26
AP,Guntur,178068,176629,1237,833823,3440118,1891773,33,198,0,1119,1248,272,619,4,285377,156818,4889230,2020-11-26
AP,Krishna,119348,117130,1430,782232,2971604,1914927,46,71,1,51,337,422,467,9,75352,230788,4529009,2020-11-26
AP,Kurnool,124142,123264,853,867361,2672759,1290419,6,3,0,4716,1538,25,26,0,178620,73119,4046601,2020-11-26
AP,Other District,2461,2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,Prakasam,138482,136989,1124,697340,2321031,1521177,6,37,0,3292,5872,103,290,3,137338,130213,3392764,2020-11-26
AP,S.P.S. Nellore,146388,144919,1053,682964,2143402,1403240,34,23,1,2724,1639,155,235,2,96973,114393,2966082,2020-11-26
AP,Srikakulam,123109,122136,786,670899,1630248,974734,19,20,0,2,6,132,72,0,18883,129575,2699471,2020-11-26
AP,Visakhapatnam,157737,156492,1127,744983,2999432,1864960,27,30,0,1309,2311,237,227,1,65301,207340,4288113,2020-11-26
AP,Vizianagaram,82967,82231,672,531433,1393491,996097,7,11,1,601,1855,53,38,1,44847,123576,2342868,2020-11-26
AP,West Godavari,179077,177680,1117,793098,2525317,1778807,40,44,0,878,1884,234,246,4,61021,146562,3934782,2020-11-26
AP,Y.S.R. Kadapa,115623,114904,644,671761,1824032,1328711,12,25,0,1005,1101,82,163,0,65843,90958,2884524,2020-11-26
AR,Anjaw,1068,1065,3,2845,11695,7957,0,0,0,0,0,0,0,0,45,452,21089,2021-01-28
AR,Changlang,3807,3780,22,23861,88857,55361,0,1,0,0,0,3,3,0,298,3803,147951,2021-01-28
AR,East Kameng,1094,1094,0,7489,22931,15646,0,0,0,0,1,0,0,0,76,409,78413,2021-01-28
AR,East Siang,3206,3183,17,21867,54001,39434,0,5,0,0,0,9,10,0,365,2013,99019,2021-01-28
AR,Kamle,512,512,0,1385,6946,3874,0,0,0,0,0,0,0,0,36,185,22256,2021-01-28
AR,Kra Daadi,270,270,0,3218,6275,3272,0,0,0,0,0,0,0,0,5,23,0,2021-01-28
AR,Kurung Kumey,511,510,1,4201,9121,5601,0,0,0,0,0,0,0,0,27,255,89717,2021-01-28
AR,Lepa Rada,874,871,3,6747,13328,10176,0,0,0,6,54,0,1,0,40,307,0,2021-01-28
AR,Lohit,2885,2851,26,14945,31120,22003,0,0,0,0,0,9,3,0,221,1494,145538,2021-01-28
AR,Longding,752,749,2,10342,19259,7826,0,0,0,0,0,1,0,0,46,356,60000,2021-01-28
AR,Lower Dibang Valley,2426,2397,11,12169,32639,22089,0,0,0,19,1,14,3,0,171,931,53986,2021-01-28
AR,Lower Siang,738,730,8,7070,16565,9990,0,0,0,0,0,0,0,0,37,317,80597,2021-01-28
AR,Lower Subansiri,3036,3015,15,10564,26916,18827,0,0,0,2,36,5,2,0,85,767,82839,2021-01-28
AR,Namsai,2124,2102,17,19987,63539,47104,0,0,0,0,0,4,16,0,209,2436,95950,2021-01-28
AR,Pakke Kessang,453,453,0,3327,8004,4998,0,0,0,0,14,0,0,0,25,262,0,2021-01-28
AR,Papum Pare,18316,18212,98,41960,141168,100258,1,1,0,0,0,7,12,0,1055,3799,176385,2021-01-28
AR,Shi Yomi,262,261,0,2169,6910,5663,0,0,0,0,0,1,10,0,2,153,13310,2021-01-28
AR,Siang,411,408,3,4270,14408,9068,0,0,0,0,0,0,0,0,40,197,31920,2021-01-28
AR,Tawang,2577,2533,20,14224,29553,23287,0,0,0,0,0,12,8,0,91,759,49950,2021-01-28
AR,Tirap,1109,1102,5,14657,31565,21200,0,0,0,0,0,0,2,0,35,631,111997,2021-01-28
AR,Upper Dibang Valley,337,335,2,1910,4156,2603,0,0,0,0,0,0,1,0,3,11,7948,2021-01-28
AR,Upper Siang,1016,1015,1,6564,18594,13671,0,0,0,0,0,0,2,0,38,411,35289,2021-01-28
AR,Upper Subansiri,1958,1952,6,6217,24842,16390,0,0,0,0,0,0,0,0,93,1122,83205,2021-01-28
AR,West Kameng,3545,3518,14,28155,55710,40321,0,7,0,15,89,1,21,0,206,1914,87013,2021-01-28
AR,West Siang,1868,1856,6,13192,33773,27867,0,-5,0,0,0,0,3,0,63,640,112272,2021-01-28
AS,Baksa,0,0,0,0,553967,136574,0,0,0,39,172,0,0,0,2992,15169,953773,0
AS,Barpeta,0,0,0,0,1095048,448006,0,0,0,369,1035,0,0,0,10495,48544,1693190,0
AS,Biswanath,0,0,0,0,456088,213437,0,0,0,507,1655,0,0,0,5661,35727,612491,0
AS,Bongaigaon,0,0,0,0,493242,183782,0,0,0,85,1287,0,0,0,2784,18356,732639,0
AS,Cachar,0,0,0,0,1101266,402535,0,0,0,2149,966,0,0,0,26826,21591,1736319,0
AS,Charaideo,0,0,0,0,309125,111219,0,0,0,3,26,0,0,0,1853,16868,0,0
AS,Chirang,0,0,0,0,288696,102397,0,0,0,22,89,0,0,0,2488,9573,481818,0
AS,Darrang,0,0,0,0,596783,183724,0,0,0,365,270,0,0,0,17453,21800,908090,0
AS,Dhemaji,0,0,0,0,431792,184251,0,0,0,55,47,0,0,0,3423,15318,688077,0
AS,Dhubri,0,0,0,0,945264,229696,0,0,0,1042,1906,0,0,0,12450,25644,1948632,0
AS,Dibrugarh,0,0,0,301657,914640,430800,0,0,0,699,4007,0,0,0,8869,38695,1327748,2021-02-01
