StateCode,StateDeltaConfirmed,StateDeltaDeceased,StateDeltaRecovered,StateDeltaVaccinated1,StateDeltaVaccinated2,StateDelta7Confirmed,StateDelta7Deceased,StateDelta7Recovered,StateDelta7Vaccinated1,StateDelta7Vaccinated2,StateTotalConfirmed,StateTotalDeceased,StateTotalRecovered,StateTotalTested,StateTotalVaccinated1,StateTotalVaccinated2,StateLastUpdated,StatePopulation
AN,0,0,0,3,13,3,0,5,884,10640,7651,129,7518,598033,294001,200157,2021-11-01T11:03:10+05:30,397000
AP,385,4,675,20497,24137,2873,30,3590,1223010,1887005,2066450,14373,2047722,29518787,32976969,20375181,2021-11-01T09:54:14+05:30,52221000
AR,1,0,9,42,195,66,0,97,3312,23647,55155,280,54774,1185436,771875,534486,2021-11-01T11:20:24+05:30,1504000
AS,212,1,236,19124,37463,2056,24,2215,274869,849889,610645,5997,600974,24712042,20172463,8068795,2021-11-01T09:54:14+05:30,34293000
BR,8,0,9,114694,145827,40,0,31,1286708,2144970,726098,9661,716390,50531824,49874828,18346781,2021-11-01T09:54:14+05:30,119520000
CH,5,0,3,211,1282,28,0,20,3680,21641,65351,820,64495,792851,926035,546981,2021-11-01T09:54:14+05:30,1179000
CT,32,1,32,21312,39393,205,5,103,379374,604260,1006052,13577,992159,13709510,14851682,7343273,2021-11-01T09:54:14+05:30,28724000
DL,45,0,46,12482,11839,267,0,239,160323,269146,1439870,25091,1414431,29427753,13055636,7425404,2021-11-01T09:54:14+05:30,19814000
DN,0,0,1,3,20,0,0,2,2802,14244,10681,4,10644,72410,660753,370255,2021-11-01T09:54:14+05:30,959000
GA,23,0,53,2572,12404,222,6,409,8418,46494,178108,3364,174392,1468399,1262568,911114,2021-11-01T09:54:14+05:30,1540000
GJ,20,0,23,14685,62096,159,2,116,335172,1660382,826577,10089,816283,30928063,44735217,25972387,2021-11-01T09:54:14+05:30,67936000
HP,85,1,198,371,8192,1537,20,1154,13244,234011,224106,3738,218410,3685011,5713695,3443823,2021-11-01T09:54:14+05:30,7300000
HR,11,0,10,7867,15801,95,0,87,160777,368141,771252,10049,761068,13032504,17772376,8115463,2021-11-01T09:54:14+05:30,28672000
JH,10,0,8,41034,51488,137,3,250,299587,428313,348764,5138,343518,15985878,14986646,5585648,2021-11-01T09:54:14+05:30,37403000
JK,95,0,79,1584,45202,611,3,572,33383,414843,332249,4432,326915,16202346,9511073,5149471,2021-11-01T09:54:14+05:30,13203000
KA,292,11,345,17604,28163,2347,75,2339,623591,1373861,2988333,38082,2941578,50873103,42497761,22858384,2021-11-01T09:54:14+05:30,65798000
KL,7167,167,6439,2010,11914,53326,3089,48406,109805,792534,4968657,31681,4857181,37886378,25306499,13658343,2021-11-01T09:54:14+05:30,35125000
LA,11,0,9,0,2,58,0,28,525,1532,20962,208,20687,555568,208798,152280,2021-11-01T09:54:14+05:30,293000
LD,0,0,0,0,4,0,0,0,69,796,10365,51,10270,263541,55129,45951,2021-11-01T11:03:10+05:30,68000
MH,1172,20,1399,53161,31988,8117,200,15146,1611778,1282938,6611078,140216,6450585,62667211,67198794,30975692,2021-11-01T09:54:14+05:30,122153000
ML,22,1,51,38,203,256,4,460,7871,41927,83627,1450,81746,1151665,1103275,641819,2021-11-01T09:54:14+05:30,3224000
MN,63,1,62,705,4283,439,10,652,7665,71276,123731,1921,121102,1367673,1249436,719413,2021-11-01T09:54:14+05:30,3103000
MP,16,0,8,5713,77062,105,1,74,148817,2034460,792854,10524,782215,20294225,49911938,20838045,2021-11-01T09:54:14+05:30,82232000
MZ,579,2,610,10,51,4098,21,5685,4302,11262,121359,432,114612,1298444,711597,512029,2021-11-01T09:54:14+05:30,1192000
NL,11,1,21,193,822,130,6,144,4706,23628,31842,685,29904,395416,709553,490663,2021-11-01T09:54:14+05:30,2150000
OR,488,4,450,21420,25651,3046,24,3230,731837,917236,1041457,8386,1029147,21994343,25736641,11560912,2021-11-01T09:54:14+05:30,43671000
PB,26,1,25,3321,4418,192,8,162,200182,223256,602401,16559,585591,15429415,15942714,6238973,2021-11-01T09:54:14+05:30,29859000
PY,38,0,45,171,532,278,0,315,8324,20073,128013,1857,125726,1919060,733922,404355,2021-11-01T09:54:14+05:30,1504000
RJ,2,0,2,9399,29672,27,0,26,271500,864947,954429,8954,945443,14807752,42544909,20097635,2021-11-01T09:54:14+05:30,77264000
SK,21,1,8,0,0,79,2,76,782,14044,31979,396,31063,261343,521763,451509,2021-10-31T20:49:45+05:30,664000
TG,121,1,183,38781,26738,1189,9,1121,1072389,961422,671463,3956,663498,27569831,22498559,9772398,2021-11-01T09:54:14+05:30,37220000
TN,1009,19,1183,77325,106584,7407,97,8852,788134,1578082,2702623,36116,2655015,51159242,41279432,17619141,2021-11-01T09:54:14+05:30,75695000
TR,12,0,2,3,650,87,0,62,4155,74642,84468,813,83466,1983127,2508477,1621329,2021-11-01T09:54:14+05:30,3992000
UP,6,0,6,53401,57556,63,1,58,2266921,3130828,1710158,22900,1687151,83635222,98178865,32681895,2021-11-01T09:54:14+05:30,224979000
UT,5,0,9,1065,12934,75,1,74,25250,258381,343896,7400,330195,7781148,7478017,3898342,2021-11-01T09:54:14+05:30,11141000
WB,914,15,913,209609,58881,6453,86,5953,3809597,1871612,1592908,19141,1565471,19228303,56192166,21559747,2021-11-01T09:54:14+05:30,96906000
